Unnamed: 0.1,Unnamed: 0,French,English
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
6,6,aide,help
7,7,demande,request
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,28,aucune,any
28,29,place,square
29,30,parle,speak
30,31,compris,understood
31,32,attention,Warning
32,33,voici,here is
33,34,pourrais,could
34,35,affaire,case
35,36,donner,give
36,37,type,type
37,38,leurs,their
38,39,donné,given
40,41,corps,body
41,42,endroit,place
42,43,yeux,eyes
43,44,façon,way
44,45,écoute,listen
45,46,dont,whose
47,48,premier,first
48,49,perdu,lost
49,50,main,hand
50,51,première,first
51,52,côté,side
52,53,pouvoir,power
53,54,vieux,old
54,55,sois,be
55,56,tiens,here
57,58,tellement,so much
58,59,enfant,child
60,61,venu,came
61,62,suite,after
62,63,pardon,sorry
64,68,demandé,request
65,69,chambre,bedroom
66,70,mis,placed
67,71,belle,beautiful
68,72,aimerais,would like to
69,73,aujourd'hui,today
70,75,cause,cause
71,76,enfin,finally
72,78,eau,water
73,79,attendez,Wait
74,80,parti,left
75,81,nouvelle,new
76,84,dirait,would say
77,85,terre,Earth
78,86,compte,account
79,87,loin,far
80,88,fin,end
81,89,croire,believe
82,90,chérie,sweetheart
83,91,gros,large
84,92,aura,will have
85,93,filles,girls
86,94,jouer,to play
87,95,bureau,office
